,晶華軒 Silks House,辰園 ｜台北喜來登,香宮｜香格里拉台北遠東,心潮飯店,欣葉台菜(創始店),雞家莊(長春路),旬採 (中山),日本橋玉井,壽司芳,想想廚房,Thai & Thai,Chope Chope ,頤宮中餐廳,田園海鮮,真的好海鮮,先進海產店,
晶華軒 Silks House,0.0,,,,,,,,,,,,,,,,
辰園 ｜台北喜來登,1.9,0.0,,,,,,,,,,,,,,,
香宮｜香格里拉台北遠東,5.9,5.0,0.0,,,,,,,,,,,,,,
心潮飯店,6.4,5.5,3.6,0.0,,,,,,,,,,,,,
欣葉台菜(創始店),2.2,2.9,7.3,7.3,0.0,,,,,,,,,,,,
雞家莊(長春路),0.8,1.4,5.4,6.0,1.5,0.0,,,,,,,,,,,
旬採 (中山),1.3,1.3,7.0,7.7,1.5,1.0,0.0,,,,,,,,,,
日本橋玉井,4.3,5.6,3.9,4.5,3.3,2.5,3.0,0.0,,,,,,,,,
壽司芳,4.9,4.0,1.8,2.2,6.0,4.1,5.0,3.9,0.0,,,,,,,,
想想廚房,1.9,2.2,4.0,5.3,3.1,1.6,2.2,3.2,3.1,0.0,,,,,,,
Thai & Thai,3.2,3.9,4.0,4.5,3.8,1.0,1.0,1.4,3.0,2.3,0.0,,,,,,
Chope Chope ,6.0,5.2,3.0,0.5,7.5,5.9,6.5,4.8,1.7,4.8,4.0,0.0,,,,,
頤宮中餐廳,1.3,1.2,5.3,6.0,2.8,1.6,1.5,5.5,4.6,2.2,1.3,6.3,0.0,,,,
田園海鮮,2.6,2.2,3.5,4.1,3.5,2.0,2.6,2.9,2.6,1.1,2.0,3.9,2.5,0.0,,,
真的好海鮮,3.9,3.2,2.1,3.3,5.1,3.3,4.1,3.5,2.1,2.2,2.9,3.0,3.5,1.7,0.0,,
先進海產店,3.9,3.8,2.7,2.2,5.5,3.6,4.3,3.3,0.9,2.3,2.3,2.2,4.0,1.9,2.2,0.0,
,,,,,,,,,,,,,,,,,
